Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-04-27,261.97,263.19,260.12,261.585,31014213,258.6684599302,259.8730845861,256.8417750011,258.2883119855,31014213,0.0,1.0
2021-04-28,254.56,256.5399,252.95,256.078,46903119,251.3518462413,253.3067940743,249.7621366543,252.8507152804,46903119,0.0,1.0
2021-04-29,252.51,256.1,249.0,255.46,40589023,249.3276818604,252.8724380201,245.8619174814,252.2405037743,40589023,0.0,1.0
2021-04-30,252.18,253.08,249.6,249.74,30945098,249.0018407649,249.890498298,246.4543558368,246.5925914531,30945098,0.0,1.0
2021-05-03,251.86,254.35,251.12,253.4,19626568,248.6858736421,251.1444928169,247.9551996704,250.2064654209,19626568,0.0,1.0
2021-05-04,247.79,251.21,245.76,250.97,32756052,244.6671667981,248.0440654237,242.6627503624,247.8070900816,32756052,0.0,1.0
2021-05-05,246.47,249.5,245.82,249.06,21901325,243.3638024163,246.3556161109,242.7219941979,245.921161317,21901325,0.0,1.0
2021-05-06,249.73,249.86,244.69,246.45,26491085,246.5827174805,246.7110791241,241.6062352953,243.3440544711,26491085,0.0,1.0
2021-05-07,252.46,254.3,251.17,252.15,27032912,249.2783119974,251.0951229539,248.0045695334,248.9722188472,27032912,0.0,1.0
2021-05-10,247.18,251.73,247.12,250.87,29299890,244.0648544701,248.5575119984,244.0056106346,247.7083503557,29299890,0.0,1.0
2021-05-11,246.23,246.6,242.57,244.55,33641589,243.1268270741,243.4921640599,239.5129531063,241.467999679,33641589,0.0,1.0
2021-05-12,239.0,244.38,238.07,242.165,36684370,235.9879448918,241.300142145,235.069665441,239.1130572164,36684370,0.0,1.0
2021-05-13,243.03,245.6,241.42,241.8,29624298,239.9671558454,242.504766801,238.3774462585,238.7526572169,29624298,0.0,1.0
2021-05-14,248.15,249.18,245.49,245.575,23901081,245.0226298113,246.039648988,242.3961531025,242.4800818695,23901081,0.0,1.0
2021-05-17,245.18,246.59,243.52,246.55,24970168,242.0900599522,243.4822900873,240.4509805023,243.442794197,24970168,0.0,1.0
2021-05-18,243.08,246.41,242.9,246.27,20167975,240.0165257084,243.3045585807,239.8387942018,243.1663229645,20167975,0.0,1.0
2021-05-19,243.12,243.23,238.6,239.31,25739807,240.6089640638,240.7178279419,236.1356483449,236.8383151945,25739807,0.56,1.0
2021-05-20,246.48,247.95,243.86,243.96,21800716,243.9342607043,245.3890779846,241.341321062,241.4402882239,21800716,0.0,1.0
2021-05-21,245.17,248.33,244.74,247.565,21863058,242.6377908831,245.7651531999,242.2122320869,245.0080544112,21863058,0.0,1.0
2021-05-24,250.78,251.16,247.51,247.785,21411547,248.1898486669,248.5659238822,244.9536224721,245.2257821674,21411547,0.0,1.0
2021-05-25,251.72,252.75,250.82,251.769,17704303,249.120139989,250.1395017568,248.2294355317,249.1686338984,17704303,0.0,1.0
2021-05-26,251.49,252.94,250.75,251.43,17771600,248.8925155166,250.3275393645,248.1601585184,248.8331352194,17771600,0.0,1.0
2021-05-27,249.31,251.48,249.25,251.17,24426244,246.7350313867,248.8826188004,246.6756510895,248.5758205984,24426244,0.0,1.0
2021-05-28,249.68,252.08,249.56,250.995,18274942,247.1012098858,249.4764217719,246.9824492915,248.4026280651,18274942,0.0,1.0
2021-06-01,247.4,251.29,246.96,251.23,23213310,244.844758594,248.6945811927,244.4093030815,248.6352008956,23213310,0.0,1.0
2021-06-02,247.3,249.27,245.84,248.125,19406705,244.7457914321,246.6954445219,243.300870868,245.5622705179,19406705,0.0,1.0
2021-06-03,245.71,246.34,243.0,245.22,25307711,243.1722135575,243.7957066776,240.4902034694,242.6872744641,25307711,0.0,1.0
2021-06-04,250.79,251.65,247.51,247.76,25281094,248.1997453831,249.0508629757,244.9536224721,245.2010403769,25281094,0.0,1.0
2021-06-07,253.81,254.09,249.81,249.98,23079167,251.1885536732,251.4656617266,247.2298671963,247.3981113716,23079167,0.0,1.0
2021-06-08,252.57,256.01,252.51,255.16,22454998,249.9613608653,253.3658312354,249.9019805682,252.5246103591,22454998,0.0,1.0
2021-06-09,253.59,255.53,253.21,253.81,17937634,250.9708259169,252.8907888582,250.5947507016,251.1885536732,17937634,0.0,1.0
2021-06-10,257.24,257.46,253.67,254.29,24563619,254.5831273271,254.8008550833,251.0499996465,251.6635960504,24563619,0.0,1.0
2021-06-11,257.89,258.4868,256.61,257.985,18999731,255.2264138796,255.8170499019,253.959634207,255.3204326834,18999731,0.0,1.0
2021-06-14,259.89,259.95,256.8,257.9,19150507,257.205757118,257.2651374152,254.1476718146,255.2363105958,19150507,0.0,1.0
2021-06-15,258.36,259.99,257.68,259.775,18038931,255.6915595406,257.3047242799,255.0185828395,257.0919448818,18038931,0.0,1.0
2021-06-16,257.38,260.58,254.42,259.4,27036535,254.7216813538,257.8886305353,251.7922533609,256.7208180246,27036535,0.0,1.0
2021-06-17,260.9,261.75,256.01,256.065,27565537,258.2053254534,259.0465463297,253.3658312354,253.4202631745,27565537,0.0,1.0
2021-06-18,259.43,262.3,258.75,259.63,37202217,256.7505081732,259.5908657203,256.0775314721,256.948442497,37202217,0.0,1.0
2021-06-21,262.63,263.52,257.92,259.82,26696119,259.9174573547,260.7982650958,255.2561040281,257.1364801047,26696119,0.0,1.0
2021-06-22,265.51,265.79,262.4,262.72,24694090,262.767711618,263.0448196714,259.6898328822,260.0065278004,24694090,0.0,1.0
2021-06-23,265.275,266.83,264.43,265.99,19518681,262.5351387875,264.0740781554,261.6988662692,263.2427539952,19518681,0.0,1.0
2021-06-24,266.69,267.85,265.47,266.16,21446867,263.9355241287,265.083543207,262.7281247532,263.4109981705,21446867,0.0,1.0
2021-06-25,265.02,267.25,264.76,266.23,25611113,262.2827725246,264.4897402354,262.0254579036,263.4802751838,25611113,0.0,1.0
2021-06-28,268.72,268.9,265.91,266.185,19590024,265.9445575157,266.1226984071,263.1635802657,263.435739961,19590024,0.0,1.0
2021-06-29,271.4,271.65,267.98,268.865,19937811,268.5968774552,268.84429536,265.2122005175,266.0880599005,19937811,0.0,1.0
2021-06-30,270.9,271.3598,269.6043,270.69,21656457,268.1020416456,268.5570926561,266.8197241286,267.8942106055,21656457,0.0,1.0
2021-07-01,271.6,271.84,269.6,269.61,16725323,268.794811779,269.0323329676,266.8154685406,266.8253652568,16725323,0.0,1.0
2021-07-02,277.65,278.0,272.5,272.82,26474408,274.7823250753,275.128710142,269.6855162363,270.0022111545,26474408,0.0,1.0
2021-07-06,277.66,279.3698,274.3,278.03,31565560,274.7922217915,276.484362326,271.4669251509,275.1584002906,31565560,0.0,1.0
2021-07-07,279.93,280.6945,277.15,279.4,23260031,277.0387763671,277.79538032,274.2874892657,276.5142504089,23260031,0.0,1.0
2021-07-08,277.42,278.73,274.87,276.9,24618591,274.5547006029,275.851170424,272.0310379739,274.0400713609,24618591,0.0,1.0
2021-07-09,277.94,278.05,275.32,275.72,23916665,275.0693298448,275.178193723,272.4763902025,272.8722588502,23916665,0.0,1.0
2021-07-12,277.32,279.77,276.58,279.157,18931695,274.4557334409,276.880428908,273.7233764427,276.2737602054,18931695,0.0,1.0
