Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-06-18,130.46,131.51,130.24,130.71,108953309,129.5390675144,130.5816554409,129.3206205203,129.787302735,108953309,0.0,1.0
2021-06-21,132.3,132.41,129.21,130.3,79663316,131.366078738,131.475302235,128.2978914114,129.3801969732,79663316,0.0,1.0
2021-06-22,133.98,134.08,131.62,132.13,74783618,133.0342194204,133.1335135086,130.690878938,131.197278788,74783618,0.0,1.0
2021-06-23,133.7,134.32,133.23,133.77,60214200,132.7561959733,133.3718193204,132.2895137586,132.8257018351,60214200,0.0,1.0
2021-06-24,133.41,134.64,132.93,134.45,68710998,132.4682431174,133.6895604027,131.9916314939,133.5009016351,68710998,0.0,1.0
2021-06-25,133.11,133.89,132.81,133.46,70783746,132.1703608527,132.944854741,131.872478588,132.5178901615,70783746,0.0,1.0
2021-06-28,134.78,135.245,133.35,133.41,62111303,133.8285721263,134.2902896366,132.4086666645,132.4682431174,62111303,0.0,1.0
2021-06-29,136.33,136.49,134.35,134.8,64556081,135.3676304939,135.5265010351,133.4016075468,133.8484309439,64556081,0.0,1.0
2021-06-30,136.96,137.41,135.87,136.17,63261393,135.9931832498,136.4400066469,134.9108776881,135.2087599528,63261393,0.0,1.0
2021-07-01,137.27,137.33,135.76,136.6,52485781,136.3009949234,136.3605713763,134.801654191,135.6357245322,52485781,0.0,1.0
2021-07-02,139.96,140.0,137.745,137.9,78945572,138.972005897,139.0117235323,136.7726418425,136.9265476793,78945572,0.0,1.0
2021-07-06,142.02,143.15,140.07,140.07,108181793,141.0174641147,142.1394873117,139.081229394,139.081229394,108181793,0.0,1.0
2021-07-07,144.57,144.89,142.66,143.535,104911589,143.5494633647,143.8672044471,141.6529462794,142.5217695514,104911589,0.0,1.0
2021-07-08,143.24,144.06,140.665,141.58,105575458,142.2288519911,143.0430635147,139.672029219,140.5805701264,105575458,0.0,1.0
2021-07-09,145.11,145.65,142.6522,142.75,99890800,144.0856514412,144.6218395177,141.6452013405,141.7423109588,99890800,0.0,1.0
2021-07-12,144.5,146.32,144.0,146.21,76299719,143.4799575029,145.2871099089,142.9834870617,145.1778864118,76299719,0.0,1.0
2021-07-13,145.64,147.46,143.63,144.03,100827099,144.6119101088,146.4190625148,142.6160989353,143.0132752882,100827099,0.0,1.0
2021-07-14,149.15,149.57,147.68,148.1,127050785,148.097132606,148.5141677766,146.6375095089,147.0545446795,127050785,0.0,1.0
2021-07-15,148.48,150.0,147.09,149.24,106820297,147.4318622148,148.941132356,146.0516743883,148.1864972854,106820297,0.0,1.0
2021-07-16,146.39,149.76,145.88,148.46,93251426,145.3566157706,148.7028265442,144.8502159206,147.4120033971,93251426,0.0,1.0
2021-07-19,142.45,144.07,141.67,143.75,121434571,141.4444286941,143.0529929235,140.6699348058,142.7352518412,121434571,0.0,1.0
2021-07-20,146.15,147.0997,142.96,143.46,96350036,145.1183099589,146.0613059148,141.9508285441,142.4472989853,96350036,0.0,1.0
2021-07-21,145.4,146.13,144.63,145.53,74993460,144.3736042971,145.0984511412,143.6090398176,144.5026866118,74993460,0.0,1.0
